quantidade;digital;quick;bubble
10000;0.001000;0.001000;0.256000
20000;0.001000;0.003000;1.101000
30000;0.002000;0.004000;2.550000
40000;0.002000;0.007000;5.223000
50000;0.004000;0.008000;7.621000
60000;0.006000;0.010000;11.387000
70000;0.005000;0.012000;15.321000
80000;0.006000;0.013000;18.852000
90000;0.006000;0.015000;23.858000
100000;0.007000;0.018000;29.407000
110000;0.008000;0.018000;35.744000
120000;0.009000;0.020000;42.401000
130000;0.010000;0.022000;49.915000
140000;0.011000;0.024000;57.823000
150000;0.016000;0.026000;66.445000
160000;0.018000;0.028000;87.225000
170000;0.037000;0.033000;108.325000
180000;0.033000;0.041000;106.693000
190000;0.017000;0.035000;127.958000
200000;0.020000;0.047000;139.762000
210000;0.029000;0.049000;170.089000
220000;0.032000;0.049000;190.126000
230000;0.069000;0.055000;201.600000
240000;0.026000;0.045000;178.592000
250000;0.031000;0.053000;193.713000
260000;0.033000;0.055000;207.733000
270000;0.034000;0.056000;225.777000
280000;0.036000;0.060000;242.768000
290000;0.036000;0.059000;290.472000
300000;0.047000;0.067000;297.493000
310000;0.050000;0.071000;314.593000
320000;0.044000;0.060000;321.987000
330000;0.055000;0.069000;331.834000
340000;0.053000;0.068000;366.482000
350000;0.052000;0.066000;432.150000
360000;0.061000;0.069000;419.590000
370000;0.062000;0.075000;445.399000
380000;0.066000;0.070000;464.886000
390000;0.076000;0.072000;490.879000
400000;0.124000;0.129000;504.895000
410000;0.078000;0.075000;519.886000
420000;0.084000;0.079000;566.298000
430000;0.089000;0.078000;570.354000
440000;0.096000;0.081000;607.078000
450000;0.105000;0.083000;636.552000
460000;0.143000;0.093000;671.360000
470000;0.116000;0.085000;688.550000
480000;0.122000;0.086000;731.918000
490000;0.133000;0.090000;764.449000
500000;0.222000;0.112000;778.521000
510000;0.132000;0.090000;818.609000
520000;0.172000;0.102000;880.471000
530000;0.174000;0.102000;915.283000
540000;0.185000;0.105000;927.974000
550000;0.162000;0.097000;949.182000
560000;0.168000;0.100000;992.267000
570000;0.159000;0.100000;1038.142000
580000;0.162000;0.100000;986.451000
590000;0.165000;0.103000;1015.940000
600000;0.171000;0.104000;1047.916000
610000;0.178000;0.106000;1083.471000
620000;0.180000;0.106000;1253.143000
630000;0.213000;0.113000;1220.962000
640000;0.214000;0.122000;1411.575000
650000;0.265000;0.116000;1394.176000
660000;0.301000;0.149000;1562.769000
670000;0.242000;0.127000;1504.755000
680000;0.301000;0.126000;1558.067000
690000;0.252000;0.126000;1533.957000
700000;0.272000;0.132000;1611.109000
710000;0.268000;0.137000;1668.783000
720000;0.275000;0.132000;1702.361000
730000;0.302000;0.139000;1700.194000
740000;0.301000;0.145000;1844.116000
750000;0.257000;0.131000;1698.542000
10000;0.001000;0.001000;0.250000
20000;0.002000;0.003000;1.162000
30000;0.002000;0.005000;2.628000
40000;0.003000;0.006000;5.769000
50000;0.005000;0.009000;8.317000
60000;0.005000;0.010000;10.938000
70000;0.005000;0.011000;14.911000
80000;0.005000;0.014000;19.727000
90000;0.007000;0.016000;24.893000
100000;0.008000;0.017000;30.407000
110000;0.009000;0.018000;37.011000
120000;0.009000;0.021000;44.074000
130000;0.010000;0.024000;52.057000
140000;0.014000;0.026000;59.928000
150000;0.016000;0.028000;68.645000
160000;0.017000;0.028000;78.722000
170000;0.021000;0.032000;88.431000
180000;0.021000;0.032000;101.831000
190000;0.024000;0.038000;119.897000
200000;0.039000;0.042000;132.491000
210000;0.026000;0.047000;142.437000
220000;0.025000;0.044000;158.000000
230000;0.026000;0.043000;166.056000
240000;0.027000;0.047000;184.853000
250000;0.028000;0.048000;207.455000
260000;0.030000;0.048000;200.807000
270000;0.028000;0.053000;214.230000
280000;0.032000;0.053000;232.419000
290000;0.036000;0.057000;247.071000
300000;0.037000;0.058000;318.409000
310000;0.064000;0.087000;386.322000
320000;0.090000;0.082000;345.146000
330000;0.039000;0.061000;352.177000
340000;0.056000;0.064000;354.221000
350000;0.047000;0.065000;366.309000
360000;0.053000;0.066000;425.020000
370000;0.061000;0.075000;414.314000
380000;0.066000;0.076000;444.086000
390000;0.065000;0.070000;489.853000
400000;0.070000;0.074000;506.801000
410000;0.082000;0.080000;535.921000
420000;0.082000;0.078000;561.273000
430000;0.147000;0.108000;585.561000
440000;0.094000;0.087000;573.158000
450000;0.096000;0.086000;612.365000
460000;0.119000;0.092000;642.814000
470000;0.117000;0.086000;666.711000
480000;0.118000;0.086000;707.970000
490000;0.118000;0.088000;853.695000
500000;0.129000;0.089000;819.413000
10000;0.001000;0.001000;0.246000
20000;0.001000;0.003000;1.153000
30000;0.003000;0.005000;2.778000
40000;0.003000;0.006000;4.782000
50000;0.004000;0.009000;7.692000
60000;0.005000;0.011000;15.409000
70000;0.006000;0.012000;17.411000
80000;0.007000;0.015000;28.591000
90000;0.010000;0.018000;31.455000
100000;0.008000;0.021000;37.325000
110000;0.012000;0.023000;45.653000
120000;0.049000;0.027000;53.975000
130000;0.014000;0.029000;64.322000
140000;0.025000;0.035000;74.399000
150000;0.021000;0.038000;84.960000
160000;0.027000;0.041000;96.654000
170000;0.024000;0.042000;108.409000
180000;0.037000;0.044000;125.327000
190000;0.032000;0.055000;138.303000
200000;0.032000;0.069000;149.948000
210000;0.028000;0.086000;164.722000
220000;0.029000;0.042000;148.358000
230000;0.029000;0.043000;162.106000
240000;0.032000;0.055000;178.182000
250000;0.024000;0.046000;186.008000
260000;0.025000;0.049000;230.886000
270000;0.055000;0.100000;293.340000
280000;0.067000;0.085000;280.846000
290000;0.040000;0.073000;319.784000
300000;0.063000;0.122000;309.655000
310000;0.041000;0.059000;320.496000
320000;0.045000;0.067000;332.721000
330000;0.061000;0.063000;343.725000
340000;0.065000;0.064000;365.721000
350000;0.087000;0.080000;406.827000
360000;0.075000;0.087000;411.732000
370000;0.093000;0.088000;445.193000
380000;0.061000;0.071000;460.383000
390000;0.065000;0.082000;451.305000
400000;0.070000;0.077000;470.872000
410000;0.080000;0.078000;578.575000
420000;0.144000;0.111000;553.341000
430000;0.084000;0.083000;673.281000
440000;0.147000;0.099000;704.287000
450000;0.153000;0.095000;602.546000
460000;0.104000;0.086000;670.808000
470000;0.168000;0.094000;702.444000
480000;0.135000;0.103000;900.017000
490000;0.201000;0.104000;845.274000
500000;0.158000;0.091000;906.621000
10000;0.000000;0.002000;-1.000000
20000;0.001000;0.003000;-1.000000
30000;0.002000;0.005000;-1.000000
40000;0.003000;0.006000;-1.000000
50000;0.004000;0.008000;-1.000000
60000;0.005000;0.010000;-1.000000
70000;0.005000;0.011000;-1.000000
80000;0.006000;0.014000;-1.000000
90000;0.007000;0.016000;-1.000000
100000;0.008000;0.017000;-1.000000
110000;0.011000;0.021000;-1.000000
120000;0.011000;0.021000;-1.000000
130000;0.011000;0.022000;-1.000000
140000;0.013000;0.026000;-1.000000
150000;0.016000;0.029000;-1.000000
160000;0.016000;0.029000;-1.000000
170000;0.021000;0.031000;-1.000000
180000;0.023000;0.033000;-1.000000
190000;0.023000;0.049000;-1.000000
200000;0.028000;0.042000;-1.000000
210000;0.035000;0.042000;-1.000000
220000;0.030000;0.044000;-1.000000
230000;0.028000;0.049000;-1.000000
240000;0.027000;0.048000;-1.000000
250000;0.026000;0.047000;-1.000000
260000;0.034000;0.054000;-1.000000
270000;0.036000;0.055000;-1.000000
280000;0.031000;0.055000;-1.000000
290000;0.035000;0.054000;-1.000000
300000;0.040000;0.058000;-1.000000
310000;0.041000;0.060000;-1.000000
320000;0.040000;0.060000;-1.000000
330000;0.055000;0.063000;-1.000000
340000;0.046000;0.063000;-1.000000
350000;0.048000;0.067000;-1.000000
360000;0.054000;0.067000;-1.000000
370000;0.060000;0.071000;-1.000000
380000;0.061000;0.072000;-1.000000
390000;0.065000;0.074000;-1.000000
400000;0.068000;0.073000;-1.000000
410000;0.081000;0.076000;-1.000000
420000;0.080000;0.079000;-1.000000
430000;0.086000;0.078000;-1.000000
440000;0.091000;0.082000;-1.000000
450000;0.100000;0.083000;-1.000000
460000;0.110000;0.084000;-1.000000
470000;0.117000;0.088000;-1.000000
480000;0.119000;0.088000;-1.000000
490000;0.125000;0.091000;-1.000000
500000;0.133000;0.090000;-1.000000
10000;0.001000;0.001000;-1.000000
20000;0.002000;0.002000;-1.000000
30000;0.003000;0.004000;-1.000000
40000;0.003000;0.007000;-1.000000
50000;0.005000;0.007000;-1.000000
60000;0.005000;0.010000;-1.000000
70000;0.006000;0.011000;-1.000000
80000;0.006000;0.014000;-1.000000
90000;0.007000;0.015000;-1.000000
100000;0.007000;0.018000;-1.000000
110000;0.012000;0.022000;-1.000000
120000;0.009000;0.021000;-1.000000
130000;0.010000;0.023000;-1.000000
140000;0.011000;0.025000;-1.000000
150000;0.013000;0.026000;-1.000000
160000;0.017000;0.028000;-1.000000
170000;0.026000;0.034000;-1.000000
180000;0.024000;0.035000;-1.000000
190000;0.021000;0.035000;-1.000000
200000;0.021000;0.037000;-1.000000
210000;0.038000;0.045000;-1.000000
220000;0.023000;0.055000;-1.000000
230000;0.033000;0.047000;-1.000000
240000;0.024000;0.047000;-1.000000
250000;0.037000;0.048000;-1.000000
260000;0.033000;0.050000;-1.000000
270000;0.029000;0.053000;-1.000000
280000;0.030000;0.053000;-1.000000
290000;0.033000;0.055000;-1.000000
300000;0.035000;0.057000;-1.000000
310000;0.039000;0.059000;-1.000000
320000;0.045000;0.062000;-1.000000
330000;0.043000;0.062000;-1.000000
340000;0.047000;0.064000;-1.000000
350000;0.049000;0.066000;-1.000000
360000;0.052000;0.067000;-1.000000
370000;0.055000;0.069000;-1.000000
380000;0.064000;0.072000;-1.000000
390000;0.065000;0.073000;-1.000000
400000;0.069000;0.073000;-1.000000
410000;0.075000;0.075000;-1.000000
420000;0.078000;0.078000;-1.000000
430000;0.091000;0.078000;-1.000000
440000;0.101000;0.082000;-1.000000
450000;0.117000;0.087000;-1.000000
460000;0.135000;0.093000;-1.000000
470000;0.183000;0.106000;-1.000000
480000;0.129000;0.096000;-1.000000
490000;0.125000;0.090000;-1.000000
500000;0.130000;0.091000;-1.000000
10000;0.000000;0.002000;-1.000000
20000;0.002000;0.003000;-1.000000
30000;0.002000;0.005000;-1.000000
40000;0.002000;0.006000;-1.000000
50000;0.003000;0.008000;-1.000000
60000;0.005000;0.009000;-1.000000
70000;0.005000;0.012000;-1.000000
80000;0.006000;0.014000;-1.000000
90000;0.008000;0.017000;-1.000000
100000;0.010000;0.019000;-1.000000
110000;0.012000;0.021000;-1.000000
120000;0.010000;0.021000;-1.000000
130000;0.010000;0.023000;-1.000000
140000;0.042000;0.027000;-1.000000
150000;0.021000;0.028000;-1.000000
160000;0.026000;0.031000;-1.000000
170000;0.022000;0.033000;-1.000000
180000;0.024000;0.036000;-1.000000
190000;0.023000;0.035000;-1.000000
200000;0.024000;0.038000;-1.000000
210000;0.025000;0.043000;-1.000000
220000;0.026000;0.049000;-1.000000
230000;0.025000;0.044000;-1.000000
240000;0.028000;0.045000;-1.000000
250000;0.027000;0.050000;-1.000000
260000;0.044000;0.051000;-1.000000
270000;0.031000;0.052000;-1.000000
280000;0.038000;0.056000;-1.000000
290000;0.036000;0.055000;-1.000000
300000;0.037000;0.057000;-1.000000
310000;0.060000;0.060000;-1.000000
320000;0.056000;0.061000;-1.000000
330000;0.046000;0.069000;-1.000000
340000;0.053000;0.088000;-1.000000
350000;0.048000;0.066000;-1.000000
360000;0.053000;0.068000;-1.000000
370000;0.058000;0.069000;-1.000000
380000;0.059000;0.072000;-1.000000
390000;0.073000;0.073000;-1.000000
400000;0.068000;0.075000;-1.000000
410000;0.073000;0.078000;-1.000000
420000;0.081000;0.078000;-1.000000
430000;0.087000;0.084000;-1.000000
440000;0.098000;0.082000;-1.000000
450000;0.097000;0.084000;-1.000000
460000;0.112000;0.086000;-1.000000
470000;0.115000;0.087000;-1.000000
480000;0.118000;0.092000;-1.000000
490000;0.124000;0.089000;-1.000000
500000;0.133000;0.095000;-1.000000
10000;0.000000;0.002000;-1.000000
20000;0.001000;0.003000;-1.000000
30000;0.002000;0.005000;-1.000000
40000;0.002000;0.007000;-1.000000
50000;0.004000;0.008000;-1.000000
60000;0.005000;0.010000;-1.000000
70000;0.005000;0.012000;-1.000000
80000;0.008000;0.014000;-1.000000
90000;0.008000;0.016000;-1.000000
100000;0.009000;0.017000;-1.000000
110000;0.008000;0.019000;-1.000000
120000;0.012000;0.021000;-1.000000
130000;0.010000;0.023000;-1.000000
140000;0.011000;0.025000;-1.000000
150000;0.014000;0.026000;-1.000000
160000;0.017000;0.033000;-1.000000
170000;0.022000;0.031000;-1.000000
180000;0.035000;0.039000;-1.000000
190000;0.028000;0.039000;-1.000000
200000;0.023000;0.037000;-1.000000
210000;0.028000;0.040000;-1.000000
220000;0.022000;0.044000;-1.000000
230000;0.033000;0.044000;-1.000000
240000;0.026000;0.046000;-1.000000
250000;0.038000;0.052000;-1.000000
260000;0.027000;0.053000;-1.000000
270000;0.030000;0.052000;-1.000000
280000;0.035000;0.052000;-1.000000
290000;0.035000;0.057000;-1.000000
300000;0.036000;0.058000;-1.000000
310000;0.039000;0.060000;-1.000000
320000;0.043000;0.065000;-1.000000
330000;0.042000;0.062000;-1.000000
340000;0.045000;0.065000;-1.000000
350000;0.052000;0.066000;-1.000000
360000;0.055000;0.067000;-1.000000
370000;0.056000;0.070000;-1.000000
380000;0.062000;0.074000;-1.000000
390000;0.066000;0.074000;-1.000000
400000;0.070000;0.075000;-1.000000
410000;0.085000;0.076000;-1.000000
420000;0.080000;0.079000;-1.000000
430000;0.088000;0.081000;-1.000000
440000;0.101000;0.083000;-1.000000
450000;0.106000;0.084000;-1.000000
460000;0.106000;0.085000;-1.000000
470000;0.111000;0.086000;-1.000000
480000;0.128000;0.087000;-1.000000
490000;0.126000;0.090000;-1.000000
500000;0.133000;0.091000;-1.000000
10000;0.001000;0.001000;-1.000000
20000;0.001000;0.003000;-1.000000
30000;0.002000;0.004000;-1.000000
40000;0.003000;0.006000;-1.000000
50000;0.003000;0.008000;-1.000000
60000;0.004000;0.010000;-1.000000
70000;0.005000;0.012000;-1.000000
80000;0.006000;0.014000;-1.000000
90000;0.008000;0.017000;-1.000000
100000;0.008000;0.017000;-1.000000
110000;0.009000;0.020000;-1.000000
120000;0.009000;0.022000;-1.000000
130000;0.009000;0.024000;-1.000000
140000;0.010000;0.025000;-1.000000
150000;0.050000;0.026000;-1.000000
160000;0.022000;0.031000;-1.000000
170000;0.033000;0.032000;-1.000000
180000;0.020000;0.038000;-1.000000
190000;0.024000;0.039000;-1.000000
200000;0.019000;0.038000;-1.000000
210000;0.029000;0.042000;-1.000000
220000;0.025000;0.042000;-1.000000
230000;0.026000;0.045000;-1.000000
240000;0.032000;0.054000;-1.000000
250000;0.029000;0.051000;-1.000000
260000;0.029000;0.050000;-1.000000
270000;0.037000;0.051000;-1.000000
280000;0.043000;0.053000;-1.000000
290000;0.035000;0.058000;-1.000000
300000;0.035000;0.057000;-1.000000
310000;0.045000;0.061000;-1.000000
320000;0.045000;0.063000;-1.000000
330000;0.042000;0.064000;-1.000000
340000;0.045000;0.064000;-1.000000
350000;0.052000;0.066000;-1.000000
360000;0.054000;0.068000;-1.000000
370000;0.055000;0.070000;-1.000000
380000;0.060000;0.073000;-1.000000
390000;0.065000;0.074000;-1.000000
400000;0.074000;0.074000;-1.000000
410000;0.083000;0.077000;-1.000000
420000;0.081000;0.080000;-1.000000
430000;0.091000;0.080000;-1.000000
440000;0.102000;0.084000;-1.000000
450000;0.105000;0.083000;-1.000000
460000;0.114000;0.085000;-1.000000
470000;0.108000;0.088000;-1.000000
480000;0.127000;0.088000;-1.000000
490000;0.130000;0.092000;-1.000000
500000;0.129000;0.091000;-1.000000
10000;0.000000;0.002000;-1.000000
20000;0.001000;0.003000;-1.000000
30000;0.002000;0.005000;-1.000000
40000;0.003000;0.006000;-1.000000
50000;0.004000;0.007000;-1.000000
60000;0.004000;0.010000;-1.000000
70000;0.006000;0.012000;-1.000000
80000;0.005000;0.015000;-1.000000
90000;0.007000;0.016000;-1.000000
100000;0.010000;0.019000;-1.000000
110000;0.011000;0.022000;-1.000000
120000;0.009000;0.021000;-1.000000
130000;0.009000;0.023000;-1.000000
140000;0.011000;0.024000;-1.000000
150000;0.012000;0.026000;-1.000000
160000;0.013000;0.028000;-1.000000
170000;0.014000;0.030000;-1.000000
180000;0.015000;0.033000;-1.000000
190000;0.023000;0.034000;-1.000000
200000;0.026000;0.039000;-1.000000
210000;0.026000;0.040000;-1.000000
220000;0.026000;0.042000;-1.000000
230000;0.032000;0.045000;-1.000000
240000;0.029000;0.045000;-1.000000
250000;0.029000;0.049000;-1.000000
260000;0.032000;0.053000;-1.000000
270000;0.031000;0.051000;-1.000000
280000;0.035000;0.055000;-1.000000
290000;0.035000;0.053000;-1.000000
300000;0.047000;0.056000;-1.000000
310000;0.041000;0.059000;-1.000000
320000;0.040000;0.061000;-1.000000
330000;0.042000;0.061000;-1.000000
340000;0.047000;0.064000;-1.000000
350000;0.050000;0.066000;-1.000000
360000;0.052000;0.067000;-1.000000
370000;0.059000;0.071000;-1.000000
380000;0.059000;0.072000;-1.000000
390000;0.064000;0.072000;-1.000000
400000;0.071000;0.076000;-1.000000
410000;0.077000;0.073000;-1.000000
420000;0.079000;0.078000;-1.000000
430000;0.083000;0.079000;-1.000000
440000;0.089000;0.082000;-1.000000
450000;0.102000;0.092000;-1.000000
460000;0.106000;0.084000;-1.000000
470000;0.112000;0.085000;-1.000000
480000;0.116000;0.087000;-1.000000
490000;0.123000;0.090000;-1.000000
500000;0.127000;0.089000;-1.000000
10000;0.001000;0.001000;-1.000000
20000;0.002000;0.003000;-1.000000
30000;0.002000;0.005000;-1.000000
40000;0.003000;0.006000;-1.000000
50000;0.003000;0.009000;-1.000000
60000;0.005000;0.010000;-1.000000
70000;0.005000;0.013000;-1.000000
80000;0.006000;0.014000;-1.000000
90000;0.009000;0.017000;-1.000000
100000;0.008000;0.019000;-1.000000
110000;0.009000;0.020000;-1.000000
120000;0.009000;0.021000;-1.000000
130000;0.011000;0.023000;-1.000000
140000;0.010000;0.025000;-1.000000
150000;0.012000;0.027000;-1.000000
160000;0.015000;0.029000;-1.000000
170000;0.019000;0.031000;-1.000000
180000;0.021000;0.033000;-1.000000
190000;0.023000;0.034000;-1.000000
200000;0.020000;0.039000;-1.000000
210000;0.021000;0.038000;-1.000000
220000;0.019000;0.041000;-1.000000
230000;0.041000;0.044000;-1.000000
240000;0.025000;0.046000;-1.000000
250000;0.027000;0.047000;-1.000000
260000;0.032000;0.049000;-1.000000
270000;0.029000;0.051000;-1.000000
280000;0.031000;0.053000;-1.000000
290000;0.033000;0.054000;-1.000000
300000;0.046000;0.056000;-1.000000
310000;0.040000;0.058000;-1.000000
320000;0.041000;0.059000;-1.000000
330000;0.043000;0.062000;-1.000000
340000;0.060000;0.063000;-1.000000
350000;0.048000;0.065000;-1.000000
360000;0.056000;0.067000;-1.000000
370000;0.055000;0.072000;-1.000000
380000;0.060000;0.073000;-1.000000
390000;0.068000;0.071000;-1.000000
400000;0.072000;0.074000;-1.000000
410000;0.073000;0.074000;-1.000000
420000;0.077000;0.077000;-1.000000
430000;0.085000;0.078000;-1.000000
440000;0.089000;0.080000;-1.000000
450000;0.096000;0.083000;-1.000000
460000;0.104000;0.083000;-1.000000
470000;0.113000;0.085000;-1.000000
480000;0.119000;0.087000;-1.000000
490000;0.125000;0.090000;-1.000000
500000;0.131000;0.091000;-1.000000
